2021-11-22/15:08:10		Start of Validation on files!!
2021-11-22/15:08:21		Raw Data Validation Complete!!
2021-11-22/15:08:21		Starting Data Transforamtion!!
2021-11-22/15:08:32		DataTransformation Completed!!!
2021-11-22/15:08:32		Creating Training_Database and tables on the basis of given schema!!!
2021-11-22/15:08:32		Table creation Completed!!
2021-11-22/15:08:32		Insertion of Data into Table started!!!!
2021-11-22/15:08:43		Insertion in Table completed!!!
2021-11-22/15:08:43		Deleting Good Data Folder!!!
2021-11-22/15:08:43		Good_Data folder deleted!!!
2021-11-22/15:08:43		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-11-22/15:08:43		Bad files moved to archive!! Bad folder Deleted!!
2021-11-22/15:08:43		Validation Operation completed!!
2021-11-22/15:08:43		Extracting csv file from table
